INPUT:Malayalam_1	INPUT:Malayalam_2	INPUT:text_1	OUTPUT:result	CONFIDENCE:result	
എന്തെങ്കിലും ഉണ്ടെന്ന് ഞാൻ കരുതുന്നില്ല	- _ -	i don ' t think there is any .	0	95.56%	
അവർക്ക് ഒരു മകളും മകനുമുണ്ട്	അവർ ഭാവനയും ഭാര്യയുമാണെന്ന് ഞാൻ വിശ്വസിക്കുന്നു	they are husband and wife .	0	95.56%	
നീ ചെറുപ്പത്തിലായിരുന്നെങ്കിൽ അവർ കൂടുതൽ സംരക്ഷിക്കപ്പെടും.	നിങ്ങളുടെ ചെറുപ്പത്തിൽ അത് അങ്ങനെ ആകുകയാണെങ്കിൽ, ആത്മാഭിമാനം സംരക്ഷിക്കുക	if you were younger , they would be more protect ive .	1	72.08%	
ഒരു പെൺകുട്ടിയെ കണ്ടെത്തുക;നിങ്ങൾ ഒരു നിക്കൽ ഒരു ഡസൻ ആണ്	ഒരു പെൺകുട്ടിയെ കണ്ടെത്തുക, മറ്റൊരു പെൺകുട്ടിയെ കണ്ടെത്തുക	find another girl ; they are a dime a dozen .	0	99.67%	
പാട്ട് എനിക്കു ചിരിപ്പിച്ചു. കാരണം എന്റെ ഒരു സുഹൃത്ത് എന്നെ ചാടി എന്നോടു പേര് നൽകി	എന്റെ സുഹൃത്താണ് എന്റെ പേര് പറഞ്ഞത്. ശ്രേഷ്ഠതയുള്ള ഒരു ഗാന	the song made me laugh because my friend kept jumping at me and saying me name .	1	99.31%	
നിങ്ങൾക്ക് ഒരു ഡോക്ടറാകണമെങ്കിൽ, നിങ്ങൾക്ക് ധാരാളം കാര്യങ്ങൾ ചെയ്യാൻ കഴിയണം	";) ""ഞാൻ എന്താണ് പറയാൻ ആഗ്രഹിക്കുന്നതെന്ന് എനിക്ക് ഉറപ്പില്ല"" ""ഞാൻ എന്താണ് പറയാൻ പോകുന്നതെന്ന് എനിക്കറിയില്ല"	depends what you would like to do .	0	99.99%	
ഇതിനായി അസാധാരണമായ ഒരു പ്രോഗ്രാം ആവശ്യമുള്ളത് നിങ്ങൾ ഇല്ലാതാക്കുന്നു, എനിക്ക് ഫലത്തിൽ ഓർമ്മപ്പെടുത്തൽ പ്രോഗ്രാമിന്റെ ജെൻസ് ടിൾ ചെയ്യുന്നു.	നിങ്ങൾ ഒരു സാധാരണ ഡാറ്റ നിരസിക്കാൻ നിങ്ങൾ എടുക്കുന്നു, കാരണം അത് വളരെ മോശമാണ്, പക്ഷേ ഡാറ്റയുടെ സൂചികയെ സൂചിപ്പിക്കാൻ ഞാൻ ആഗ്രഹിക്കുന്നു.	you need to have a special program for it and i am sorry about forget ting the name of the program .	0	99.95%	
ഞങ്ങൾ ധാരാളം വാക്കുകൾ സംസാരിക്കുന്നു	ഞങ്ങളുടെ ജീവിതത്തെക്കുറിച്ച്, ഞങ്ങളുടെ കുടുംബം, സുഹൃത്തുക്കൾ, വളർത്തുമൃഗങ്ങൾ എന്നിവയെക്കുറിച്ച് ഞങ്ങൾ സംസാരിക്കുന്നു	we speak a lot about everything .	1	87.20%	
അവർ ചുരുങ്ങിയ സമ്മാനങ്ങളും അവർക്ക് ആവശ്യമായ ഇനങ്ങളും ചുരുങ്ങുന്നു.	അവ കൃത്യമായി സമ്മാനങ്ങളായി മാറുന്നു, പക്ഷേ അവ നഷ്ടപ്പെടുന്ന ഇനങ്ങൾ.	they get exactly the gifts and the items they want .	1	69.31%	
സഹസ്യം എന്ന നിലയില് , ഞാന് മുന്നോട്ട് പോയി വളര് ന്ന മനുഷ്യന്റെ മനസ്സ് തകര് ക്കുക	പെൺകുട്ടിയായി വീണ്, ഞാന് അതിനായി പോയ രോഗിയുടെ ഹൃദയത്തെ തകര് ത്തു!	as a fellow woman , i say go ahead and break that crooked man ' s heart .	0	97.34%	
നിങ്ങൾക്ക് ഈ പോസ്റ്റ് ഇഷ്ടമാണെങ്കിൽ, ദയവായി ഇത് നിങ്ങളുടെ ചങ്ങാതിമാരുമായി പങ്കിടുക	നിങ്ങൾക്ക് ഈ പോസ്റ്റ് ഇഷ്ടമാണെങ്കിൽ, ദയവായി ഇത് നിങ്ങളുടെ ചങ്ങാതിമാരുമായി പങ്കിടുക	just love her , too , if you like her .	1	98.38%	
ഹലോ പെണ്ണേ, ധൈര്യപ്പെടൂ, വിഷമിക്കേണ്ട.	ഹേയ് പെണ്ണ് ധൈര്യപ്പെടൂ.. എന്തിനെയും കുറിച്ച് ഓർത്ത് വിഷമിക്കണ്ട..!	hello girl , just be brave and do not worry .	1	99.21%	
അവളോടു ബഹുമാനം കാണിക്കുക. ് ളോട് സ്നേഹം.	അവൾക്ക് ലേഡിപോലെ പെരുമാറുക! ് ∙ അവൾ	treat her with respect .	1	60.28%	
ഞാൻ അവളുടെ പേര് നഷ്ടപ്പെടുത്തി അല്ലെങ്കിൽ തെറ്റായ അക്ഷരവിന്യാസം ഉപയോഗിച്ചിട്ടുണ്ടെങ്കിൽ ഞാൻ ക്ഷമ ചോദിക്കുന്നു	അവൻ അവളുടെ സഹോദരനാണ്	i apologize if i misspell ed her name	0	97.34%	
ഒരു വ്യക്തിക്ക് ഒരു ചോദ്യമുന്നയിക്കുമ്പോൾ നെഗറ്റിവ് പ്രതികരണങ്ങൾ ഉണ്ടാകുമ്പോൾ	എന്നാൽ നിങ്ങൾ ചോദിക്കുകയാണെങ്കിൽ, പിന്നെ നിങ്ങൾ ഇടതുവശത്തു ലീപിച്ചു ടി.	when you ask a man a question and are answered with a negative response you will be left with dissapoint ment .	0	97.34%	
നിങ്ങൾക്ക് കൂടുതൽ വിവരങ്ങൾ ആവശ്യമുണ്ടെങ്കിൽ 0800 096 3157 ലെ പിന്തുണാ ലൈനിനെ വിളിക്കാൻ മടിക്കരുത്	ഞാൻ Twitter @jnder_moser ആണ്	if you require anymore ass it ance please do not hesitate to ask .	0	97.31%	
നിങ്ങളുടെ സമയം പുറത്ത് പോകുന്ന സമയം നിങ്ങള് ആസ്വദിക്കൂ, നിങ്ങളുടെ സ്വാതന്ത്ര്യം അനുഭവിക്കുക.	പുറത്തുപോയ് നല്ല സമയം উপভোগൂ ..! ......	enjoy your time going out . enjoy your freedom .	1	96.73%	
യാഥാർത്ഥ്യത്തിൽ എന്താണ് കാർ നാ ടിക് യൂഫോണി ഉപയോഗിക്കുന്നത്?	റെയിൽകർ നാ ടിക് മതേതരങ്ങളാൽ എന്താണ് അർത്ഥമാക്കുന്നത്?	what in the world is meant by car na tic music ?	0	97.34%	
നിങ്ങൾ അത് ചെയ്യാൻ ആഗ്രഹിക്കുന്നില്ല. ാ ർ േ ന ്	NUM: നിങ്ങൾ ചെയ്യുന്നതെല്ലാം കൃത്യമായി ചെയ്യുന്നു. എന്തുകൊണ്ടാണ് നിങ്ങൾ അങ്ങനെ	you ' re doing exactly what you shouldn ' t be doing .	0	99.82%	
രാത്രി മുഴുവൻ ഫ്രിഡ്ജ് ആണോ എന്ന് കാണണോ?	രാത്രി ഉറങ്ങുന്നോ എന്ന് കാണണോ?	do you want to go see if it is friday night ?	0	96.05%	
ഇഷ്ടപ്പെടുന്ന കാര്യങ്ങൾ ഞാൻ തടയുന്നത് വിക്കിപീഡിയയെ വിയോജിക്കുന്നുണ്ടാകും.	അടിവശം ഇടപാട് നടത്താനുള്ള അടിവശം വിക്കിപീഡിയയെ എതിർക്കുന്നതായി തോന്നുന്നു.	i think the best thing to do would be to check wikipedia .	1	60.28%	
നിങ്ങൾ അവരെ വിശ്വസിക്കുന്നുണ്ടോ?അവർ നിങ്ങളെ ശരിക്കും വിശ്വസിക്കുന്നുണ്ടോ?ഞങ്ങൾ അവരെ വിശ്വസിക്കുന്നുണ്ടോ?	"""നിങ്ങളാകാൻ നിങ്ങൾ ധൈര്യപ്പെടണം"	you hope they will do the same for you , but do they ?	0	99.99%	
എനിക്ക് സ്പിരിറ്റിന്റെ പദ്ധതികളുമായി ഏറ്റുമുട്ടുന്നതിനായി എനിക്ക് ഒന്നും ആവശ്യമില്ല.	കാരണം, ദൈവത്തിന്റെ പദ്ധതികൾ ഇടപെടാൻ ഞാൻ നഷ്ടപ്പെടുന്നില്ല.	i do not want anything to interfere with god ' s plans for me .	1	98.38%	
ഞാൻ പൂർത്തിയാകുന്നതുവരെ ഞാൻ അതിന്റെ ഓരോ നിമിഷവും ആസ്വദിക്കാൻ പോകുന്നു	അതിന്റെ ഓരോ മിനിറ്റും ഞാൻ ആസ്വദിക്കുന്നു	i enjoy every moment of it .	1	99.99%	
അവർ നല്ല മര്യാദയും ദയയും ഉള്ളവരാണ്, വിദേശികളെ പേടിച്ച് മാത്രം.	"പിന്നെ, ""ജപ്പാനികൾ"" (Japannes), ""Tapans""കൾ (Departments), വളരെ നല്ലവരാണ്, ദയയും ദയയുമുള്ളവരാണ്."	the ja p an s ese are not mean . they are great - very polite and kind , just a bit scared of foreign ers .	1	87.29%	
ഞാനവളോട് സംസാരിച്ചുകൊണ്ടിരിക്കണോ, അതോ അവനെ വിടണോ?	ഞാനവളോട് സംസാരിക്കണം, അല്ലെങ്കിൽ വെറുതെ വിട്.	should i keep talking with her , or should i let he go ?	0	65.23%	
യഥാർഥ സ് നേഹം അവരിൽ അടിച്ചേൽപ്പിക്കാത്തപക്ഷം അവർക്ക് വിശ്വസ് തരായിരിക്കാൻ കഴിയില്ല എന്നതാണ് അതിന്റെ വിശദീകരണം.	ആ മുൻ പിരമിഡ് ആക്ഷൻ.. യഥാർത്ഥ പ്രേമം അവരെ തലയ്ക്കു മീതെ അടിക്കാതെ അവർക്ക് വിശ്വസ്തരായിരിക്കാൻ കഴിയും.	that is the explanation that they can not be faithful unless the one true love strike s them over the head .	1	87.29%	
കടലിലോ പാനൽ നിക്കിന് താഴെയാണോ ഇത് മുകളിലാണോ?	അത് സമുദ്രത്തിന്റെ കൂമ്പാരമാണോ അതോ മുറി കാലിനു കീഴിലാണോ?	is it down by the sea , or under the board walk ?	1	98.38%	
ഞാൻ രണ്ടാമത്തെ പാട്ടുകൾ സംസാരിക്കുകയോ എന്റെ റേഡിയോമുമിക്കൽ പ്ലേ ചെയ്യുകയോ ചെയ്യുക.	ഞാൻ കാന്റബൈൽ സമാന ഗാനങ്ങളോ എന്റെ വയർലെസ് അഭിനയിക്കുന്നു.	i would start singing other songs or start playing my radio .	0	99.99%	
ഈ ക്ലാസ് എന്റെ പഴയ അമ്മാവൻ.	എന്റെ ഇളയ മരുമകനെ ഇത് വിവരിക്കുന്നു.	this describe s my youngest uncle .	0	97.31%	
ഈ യാഥാർത്ഥ്യം പോപ്പിംഗ് ulded ന് മുകളിലാണ്.	ഈ മാനദണ്ഡങ്ങൾ നയിച്ചു.	this world is over pop ul ated .	0	96.05%	
പ്രശസ്ത ചലച്ചിത്ര നിര് മ്മാതാവ് എന് . ജെ. ഹാഗ്ലസ് എസ് ആണ് പുതിയ ചിത്രം	പുതിയ ലൈന് സിനിമ, ഹ്യൂമൻ സ്റ്റുഡിയോ പുതിയ	"the company new line cinema produced "" teen age mut ant n in ja turtle s ."""	0	99.99%	
വളരെ പരിഹാസ്യമായ ഒരു മേള അറിയാമായിരുന്നു, ഭക്ഷ്യവസ്തുക്കളായ ഒരു ഭക്ഷ്യ ബോട്ടിക്, അവസാനം വരെ നക്ഷത്രചിഹ്നം.	മയക്കുമരുന്ന് ഒരു തവിട്ടുനിറമുള്ള ഒരു തവിട്ടുനിറം എനിക്ക് അറിയാമായിരുന്നു, പക്ഷേ വിപണി ഫണ്ടുകളിലേക്ക് ഇ.ഡി.ഇ.	i once knew a blond who was so dumb she was lock ed into a grocery store and star ve d to death .	0	95.48%	
നിങ്ങൾ അവളെ ഒരു മിസ് പെൽ എഡിറ്റ് ചെയ്തു, ഇത് 'കെ u' എന്ന്	നിങ്ങൾ അവളുടെ പേരു തെറ്റായി എഴുതിയിരിക്കുന്നു എന്ന് ഞാൻ വിശ്വസിക്കുന്നു. അതിന്റെ കെ. ഇ എൽ	"you misspell ed her name , i believe it is "" ke ll ie "" but still i did not like her that much ."	1	98.38%	
എന്റെ എല്ലാ സുഹൃത്തുക്കളേയും ഞാൻ ഇഷ്ടപ്പെട്ടു.	എന്റെ സുഹൃത്തുക്കളിൽ നിന്നും എനിക്ക് ഇഷ്ടമായെന്ന് ഞാൻ പറഞ്ഞു.	i pro c la im ed me liking him to all of my friends .	0	99.98%	
ധാരാളം മറ്റുള്ളവർ ലഭ്യമാകുമ്പോൾ നിങ്ങൾ നനയോൺ ചെയ്യണം	എനിക്ക് ഒരു വ്യക്തിയുമായിരിക്കണമെന്ന് ഞാൻ ആഗ്രഹിക്കുന്നു	you should move on as there are lots of other men available .	0	99.37%	
അവികസിത ജെന്റിൽമാൻ, ഹിപ് - സ്പ്രിംഗ് ഉപയോഗിച്ച് നിങ്ങൾ ഇല്ലാതാക്കുന്നു.	പുരാതന മാഡം, നിങ്ങൾ ഹിപ് - ഹോപ്പ് വഴി എടുക്കുന്നു.	young lady , you need to go with hip - hop .	0	98.35%	
ഞാൻ ഒരു മനുഷ്യനാണെന്നതിനാൽ, ആ വൃത്തികെട്ട മുഖം ജീർണിച്ചതായിരുന്നല്ലോ.	ഞാൻ ഒരു മൈനർ ആയതുമുതൽ, ഈ വൃത്തികെട്ട മസാജ് ജീറോജായിരുന്നു.	because i am a man , the least ugly face was george ' s .	0	98.02%	
ചിലർ സംസാരിക്കാൻ ആഗ്രഹിക്കുന്നു. ചിലർ ശ്രദ്ധിക്കാൻ ആഗ്രഹിക്കുന്നുണ്ട്.	ചിലർ സംസാരിക്കുന്നു, ചിലർ ശ്രദ്ധിക്കുന്നു ് േേട്ട	some people prefer to talk . some people prefer to listen .	1	99.99%	
ചുവന്ന മുടിയുള്ള ആ സ്ത്രീക്ക് അവൾ അത് കൈമാറി	ചുവന്ന തല ബ്ളോണ്ടി എ $ NUM ബിൽ കൈമാറുന്നു	the lady with blonde hair reach es into her purse and hands the lady with red hair a $ nu m bill .	1	99.99%	
അവൾ മിടുക്കിയല്ല, പാടാൻ കഴിയില്ല, അഭിനയിക്കാൻ കഴിയില്ല, എനിക്കവളെ ഇഷ്ടമില്ല.	അവൾ വളരെ ഊമയാണ്, പാടാൻ വയ്യ, അഭിനയിക്കാനും, പിന്നെ....	she is not smart , cannot sing , cannot act , and i do not like her .	1	97.38%	
അവൾ ഒരു വിട്ടമാണ്, എൻഇഎൻ ഇപ്പോഴും അവളുടെ ജെൻസ് എവിഡഡ് മി.	അവൾ ഒരു വർദ്ധനവാണ് ഡി IEN NEATHEN, STOR എന്നിവ സൂചിപ്പിക്കുന്നു.	she is a come d ien ne but her name escape s me .	0	97.54%	
ഞാൻ ആവശ്യമുള്ളത് ഞാൻ നശിപ്പിക്കുന്നു.	എനിക്ക് നഷ്ടമായത് ഞാൻ ഇടപാട് നടത്തുന്നു.	i do what i want to .	0	59.94%	
നിങ്ങൾ ഇവ ചെയ്യണമെന്ന് ആഗ്രഹിക്കുന്നുവെങ്കില്, നിങ്ങൾ ഇത് യഥാർത്ഥത്തിൽ ചെയ്യുമ്പോൾ, നിങ്ങൾക്കു ഭാഗ്യ	"""ഞാന് ശരിക്കും തോക്ക് ഉണ്ടെങ്കില് ഇവ ചെയ്യുക!"" """	if you are actually planning to do these things then i wish you luck and hope you get the result you desire .	0	99.44%	
"അതിൽ കാര്യമില്ല. കുടിയനായ ഒരാൾ ""ഞാൻ നിന്നെ സ്നേഹിക്കുന്നു"" എന്ന് പറയുന്ന പോലെ."	നീ കുടിച്ചാൽ ഞാൻ നിന്നെ സ്നേഹിക്കുന്നു..	"that does not matter . it ' s as meaning less as a drunk person saying "" i love you ."""	0	99.89%	
ഒരേ ദിവസം, ഒരേ ദിവസം രണ്ടും ഒരേ ദിവസം ലാഹോറിൽ ജിബി ഇസ്ബി,	അതേ ദിവസം ലാ ഡെനില് ബി ബി സി സ്വാാശ്രയെ കൊല്ലുന്നു	they killed g b ush and b in la den in the same day !	0	99.89%	
മുമ്പത്തെ ജി. എസ്. ടി നിരക്ക് ജി. എഫിലാണെങ്കില് നിങ്ങൾക്ക് അവളെയും അവ	അത് ജോലി ചെയ്യുന്ന സമയമല്ല, എന്നാൽ മിക്കപ്പോഴും പ്രവർത്തിക്കുന്നു. _ _	if the previous st rate gy is in e ff ect ive you can attempt to ignore her , however ignor ing does not work either in the majority of case s .	0	99.35%	
ശരി, നിങ്ങൾ ഒരു വ്യക്തിഗത വിവരവും ആവശ്യപ്പെടുകയോ എന്നെ തുരത്തുകയോ ചെയ്യുന്നില്ല എന്ന സ്ഥിതിയിൽ.	ശരി, നിങ്ങൾ ഏതെങ്കിലും സ്വകാര്യ വിവരങ്ങൾ ചോദിച്ചാൽ മാത്രം മതി.	all right , on the condition that you do not request any personal information or stalk me .	1	95.08%	
അത് ശരിക്കുമുള്ളത്രയും വലുതാണ്, അത്ര വലിയ കാര്യമൊന്നുമില്ല.	വലുത്, അവ യാഥാർത്ഥ്യമായിരിക്കുന്നിടത്തോളം.. അത്ര വലിയ കാര്യമൊന്നുമല്ല!	bigger is better as long as they are real , there is no such thing as too big .	1	95.08%	
നിങ്ങൾ ആരുടെയാണ് തിരയുന്നതെന്നും അവൻ എവിടെ ജീവിക്കുന്നുവെന്നും നിങ്ങൾ എന്തിന് അവനെ അന്വേഷിക്കുന്നു?	നിങ്ങൾ എവിടെ താമസിക്കുന്നു? ന്റെ നുറുങ്ങുകൾ നു	for whom are you searching , where does he live and why are you looking for him ?	1	61.67%	
ഒരു ലൈംഗിക ആക്റ്റ് നടത്താൻ ഒരു മനുഷ്യനെ ലഭിക്കാത്ത ഒരു മാർഗ്ഗം മാത്രമല്ല	അത് ലൈംഗികതയെക്കുറിച്ചായിരിക്കരുത്	it shouldn ' t be only about sex .	1	99.99%	
അവൻ എന്നെ നോക്കിയ രീതിയിലേക്കും ഞാൻ ആകർഷിക്കപ്പെട്ടു	അവന്റെ വലിയ കഴുതയെ നോക്കാൻ ഞാൻ ആഗ്രഹിക്കുന്നു	in school i was attracted to my teacher s der ri Ã¨ re .	0	99.04%	
വഞ്ചിക്കാൻ നോക്കുന്ന ഒരാൾ....ഒരിക്കലും ചതിക്കും.	ഒരിക്കൽ ചതിയൻ, എപ്പോഴും ചതിയൻ.	one who tend s to cheat usually cheats again .	1	92.52%	
അവർ കൊള്ളയടിക്കാത്ത ആരും അത് ആലപിച്ചു.എന്നിട്ടും അത് ഒരു വിതരണ ആലപിച്ചു.	എന്നാൽ മനോഹരമായ ലിറ്റർ, അവർ ഇടപാട് നടത്തുന്നു.ഇത് ഒരു ഹോട്ട് കോൾ ആണ്.	that is pretty much all they do is sing that song . but it is a cool song .	0	99.04%	
ഒരു സ് ത്രീയുടെ കൂടെ ഒരു ഡേറ്റ് നടത്താനുള്ള കഴിവ് അയാൾക്കുണ്ടെന്നു തോന്നുന്നു.	അയാൾക്ക് വേണ്ട ഏതു പെണ്ണിനെയും കിട്ടും എന്ന് തോന്നുന്നു.	it certainly seems as though he is capable of conv in cing any woman to go on a date with him .	1	99.89%	
ഞാൻ തീർച്ചയായും സങ്കീർണ്ണമായ ഇരുണ്ട ഇരുട്ടിനെ പുച്ഛിക്കുന്നു.	പ്രായമുള്ള രാത്രിയും വർദ്ധിച്ച ബാൻഡ്സ് ഇടപാട് നടത്തുന്നതിലും ഞാൻ സ്വാധീനിക്കുന്നു.	i definitely love green day but many better bands do exist .	0	99.35%	
ഞാൻ പറഞ്ഞതാണ് അത് ഒരു കുറ്റിയിലാണെന്ന്.	ഞാൻ കേട്ടത് അത് ഒരു അണപ്പല്ലിൽ ആണെന്നാണ്.	i was told that it was in april .	1	99.99%	
ഇപ്പോഴും ഹേയ്, അത് ഞാനാണ്.ഞാൻ യഥാർത്ഥത്തിൽ ഒരു ബജറ്റിൽ നിന്ന് പുറത്താക്കില്ല.	ഹേയ്, പക്ഷേ എന്നെ ന്യായമാണെന്ന്.ഞാൻ ഒരു ബജറ്റ് റദ്ദാക്കിയിട്ടില്ല.	but hey , that ' s just me . i ' m not really on a budget .	1	99.89%	
എല്ലാവർക്കും അറിയണമെന്നുണ്ട്, പക്ഷേ ആർക്കും അറിയില്ല.	എല്ലാവർക്കും ഇത് അറിയണമെന്നുണ്ട്, പക്ഷേ ആർക്കും അറിയില്ല!	everybody wants to know , but nobody truly knows .	1	99.99%	
അവിടെയുണ്ടായിരുന്നവരെ പോലെ, ഞാൻ പറയുന്നു, അത് ഒരു വിലയുമില്ലെന്ന്!	അവിടെയുണ്ടായിരുന്ന ആരെയെങ്കിലും വിശ്വസിക്കൂ, അതത്ര വിലയുള്ളതല്ല!	as someone who has been there , i say that it is not worth it !	1	99.89%	
നിങ്ങൾക്കായി എന്തെങ്കിലും ചെയ്യാൻ ആഗ്രഹിക്കുന്ന ഒരാളെ നിങ്ങൾ വളരെയധികം സ്നേഹിക്കുന്നു. ▪	ഒരു വ്യക്തിയെ വളരെയധികം ശ്രദ്ധിക്കുമ്പോള് സ്നേഹം മാത്രമായിരിക്കും അവര് ക്ക് വേണ്ടി എന്തെങ്കിലും ചെയ്യുക.	love is when you care so deeply for someone that you will do anything for them .	1	99.89%	
ഞാൻ അവരെ ആരും ഡേറ്റ് ചെയ്യും.	ഞാൻ അവ രണ്ടും ഡേറ്റിംഗ് ചെയ്യും.	i would date them both .	0	74.18%	
നിങ്ങളുടെ ഇഷ്ടം ഇഷ്ടപ്പെട്ടെങ്കിൽ, നിങ്ങൾ അത് ചെയ്യാൻ പോകുന്നില്ല. u	നിങ്ങൾ ഇഷ്ടമെങ്കിൽ, നിങ്ങൾക്ക് ലഭിക്കുകയില്ല! u. gov	well you are not going to get it if you like your avatar !	0	99.95%	
"""""""എന്റെ സുഹൃത്തുക്കൾ"""""" """"C"	"അദ്ദേഹം സാധാരണയായി ഒരു Syngbank i ഉപയോഗിച്ച് """"അംഗീകരിക്കുക"""""	his friends are named sum y ung bo i and won ph at k ok .	0	99.35%	
ഇത് നിങ്ങളെ സഹായിക്കുമെന്ന് ഞാൻ പ്രതീക്ഷിക്കുന്നു.	നല്ല ബ്ലാ ബ്ലാ, ഇത് നിന്നെ സഹായിക്കുമെന്ന് ഞാൻ പ്രതീക്ഷിക്കുന്നു.	i hope this helps you out .	1	99.89%	
അവർ സമാനമായി കാണുന്നുവെന്ന് വിശ്വസിക്കാൻ സാധിക്കില്ല. u േ	അവർ അങ്ങനെയാണ് കാണപ്പെടുന്നതെന്ന് എനിക്ക് വിശ്വസിക്കാനാകില്ല. ▪	i can ' t believe they look so similar .	1	99.89%	
നിങ്ങൾ അവനെ കൊന്നതാണെന്ന് നിങ്ങൾക്കറിയമെങ്കിൽ നിങ്ങൾ നിങ്ങളെയും കൊന്നുകളയുമെന്ന് നിങ്ങൾക്ക്	അവൾ അവനെ കൊല്ലുകയും കണക്കിലെടുത്താൽ അവൾക്കു നിങ്ങളെ കൊല്ലാനാവുമെന്ന് നിങ്ങൾക്കറിയ	if she found out that you knew that she was the one who murder ed him , then she would murder you as well .	0	81.80%	
നിങ്ങൾ അങ്ങനെ ചെയ്താൽ, നിങ്ങൾ ഗൂപ്പ് ചെയ്ത് ജലസേചനം നടത്തുക.	നിങ്ങളുടെ അങ്ങനെയാണെങ്കിൽ, നിങ്ങൾ സ്കൂപ്പിനെ അവഗണിക്കണം, പക്ഷേ വരണ്ടതാക്കണം.	if your s does , though , you should consider soap and water .	0	99.35%	
പാരീസ് യഥാർത്ഥത്തിൽ രസകരമാണ്.	പാരീസ് വളരെ അസംസ്കൃതമാണ്.	paris is really hot .	0	74.18%	
അവ കൃത്യമായി അഫോർഡിസിസിയാക്കൽ ആണ്.	അവ ന്യായബോധമുള്ളവരാണ്.	they are just so sexy .	0	99.35%	
നിങ്ങൾ രണ്ടുപേരും ഒരു ബന്ധത്തിലാണെന്ന് അദ്ദേഹം അവരെ അറിയിച്ചാൽ, നിങ്ങളുടെ ജീവിതത്തിൽ അവനെ കാത്തുകൊള്ളുക; അവരെ വഴിനയിക്കുന്നെങ്കിൽ, ആ ബന്ധം അവസാനിപ്പിക്കുക.	അവൻ നിങ്ങളുടെ കൂടെയുണ്ടെന്ൻ അവരോട് പറഞ്ഞാൽ, അവനെ പിടിച്ച് വെക്ക്.	if he lets them know that you two are in a relationship , keep him in your life ; if he leads them on , end the relationship .	0	73.59%	
എനിക്ക് ഒരിക്കലും ദരിദ്രരാകാനും നിരവധി ഇനങ്ങൾ ആവശ്യപ്പെടാതിരിക്കാൻ ഞാൻ ആവശ്യമില്ല.	പണം നിക്ഷേപിക്കാൻ ഞാൻ നിരസിച്ചെങ്കിലും ഏറ്റവും കുറച്ച് ഇനങ്ങൾ നിരസിക്കുക.	i have always desired to be wealthy and have many items .	0	99.35%	
കൂടുതൽ കൂടുതൽ നിങ്ങൾക്കായി എല്ലാ തിന്മകളും നടക്കും. ഭാവങ്ങൾ നേര	എല്ലാ ആശംസകള് ക്കും നന്ദി. ാ...... ്	further more , everything will end up going poorly for you . i wish you the best .	0	99.35%	
ആരെങ്കിലും എന്നെ ശ്രദ്ധിക്കുന്നുവെന്ന് ഞാൻ എഴുതുന്നു	എന്താണ്?ഞാൻ കേൾക്കുന്നത് പോലെ എഴുതുന്നു	i write as if someone were listening to me speak a lou d . why is that ?	0	99.35%	
നീ ഊഹിക്കുന്നത് നിർത്തണം, കാരണം അത് അനാദരവാണ്!	ഊഹിക്കുന്നത് നിർത്തണം, അത് അനാദരവാണ്!	you should stop guessing because it ' s disrespectful !	1	98.71%	
ഒരു അവസരത്തിൽ ഞങ്ങൾ ഗാർഡിൽ പോയി കളിക്കുകയും കുടിക്കുകയും ചെയ് തു.	ഒരിക്കൽ ഞങ്ങൾ ഗ്യാരേജിൽ തൂങ്ങിക്കിടന്നിരുന്നു.	one occasion , we were in the garage playing poker and drinking .	0	99.35%	
നിങ്ങൾക്ക് അത് ചെയ്യാൻ കഴിയുമെങ്കിൽ, ഇത് ഡെമോ ക്രീ ആണെന്ന് തോന്നുന്നു.	എങ്കിൽ ഡെമോ സി ജയിച്ചെങ്കിൽ..	if you are able to do it , then it would seem demo cra cy has been victorious	0	99.35%	
ഒന്നിനും ഇത് പരിക്കേൽക്കില്ല!	രണ്ടും തിന്നുന്നതിനാൽ ക്ഷമിക്കണം!	it does not hurt for every one !	0	99.35%	
ചില പുരുഷന്മാർ ഒരു സ്ത്രീയെ അല്പം വൃത്തികെട്ടവനാണെങ്കിലും അത് ഡേറ്റ് ചെയ്യും	ചില ആൺകുട്ടികൾ ഒരു സ്ത്രീയെ എടുക്കും, അവൾ ഒരു ഡിംഗ് ബാറ്റായി അവളുടെ രൂപത്തിന് കാരണം	some men will date a good looking woman even if she is not bright .	0	99.35%	
നിങ്ങൾ അവിടേക്ക് പോസ്റ്റുചെയ്യുന്നത് അവളെ കൃത്യമായി കണക്കാക്കുക.	നിങ്ങൾ ഇവിടെ പോസ്റ്റുചെയ്ത കാര്യങ്ങൾ കൃത്യമായി വെളിപ്പെടുത്തുക.	tell her exactly what you posted up there .	0	73.59%	
അവരുടെ ഏറ്റവും മികച്ച ട്രാക്ക് TRAI, പക്ഷേededed es te	ഏറ്റവും വലിയ വിജയമായിരുന്നു അത്. ് െചയ് തു.	their most successful track was at t ri but ed to do t t ie west .	0	99.35%	
